content,cleaned_text,tokenized_raw_text,tokenized_preprocessed_text,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
"promo lewat situs dampak nya ke aplikasi juga, mending gak usah bikin promo kalau enggak siap",promo lewat situs dampak aplikasi mending tidak usah bikin promo kalau enggak siap,"['promo', 'lewat', 'situs', 'dampak', 'nya', 'ke', 'aplikasi', 'juga', 'mending', 'gak', 'usah', 'bikin', 'promo', 'kalau', 'enggak', 'siap']","['promo', 'lewat', 'situs', 'dampak', 'nya', 'aplikasi', 'mending', 'tidak', 'usah', 'bikin', 'promo', 'kalau', 'enggak', 'siap']",1,0,4.5.1,2025-08-17 11:39:09,,
"Sudah update terbaru, jadwal sukabumi soetta tidak ada tampilan jamnya, hanya ada jam 00.01-12.00, jam lain tidak ada,masih lebih baik yang sebelum di update, jamnya tertera jelas, mohon di perbaiki aplikasinya agar jamnya tertera",update baru jadwal sukabumi soetta ada tampil jam ada jam 00011200 jam tidak adamasih lebih baik belum update jam tera jelas mohon baik aplikasi jam tera,"['sudah', 'update', 'terbaru', 'jadwal', 'sukabumi', 'soetta', 'tidak', 'ada', 'tampilan', 'jamnya', 'hanya', 'ada', 'jam', '00011200', 'jam', 'lain', 'tidak', 'adamasih', 'lebih', 'baik', 'yang', 'sebelum', 'di', 'update', 'jamnya', 'tertera', 'jelas', 'mohon', 'di', 'perbaiki', 'aplikasinya', 'agar', 'jamnya', 'tertera']","['update', 'baru', 'jadwal', 'sukabumi', 'soetta', 'ada', 'tampil', 'jam', 'ada', 'jam', '00011200', 'jam', 'tidak', 'adamasih', 'lebih', 'baik', 'belum', 'update', 'jam', 'tera', 'jelas', 'mohon', 'baik', 'aplikasi', 'jam', 'tera']",5,0,4.5.1,2025-08-17 10:56:40,,
aplikasi koclok...cari tiket aja susah tetep PENCARIAN.,aplikasi koclokcari tiket susah tetep cari,"['aplikasi', 'koclokcari', 'tiket', 'aja', 'susah', 'tetep', 'pencarian']","['aplikasi', 'koclokcari', 'tiket', 'aja', 'susah', 'tetep', 'cari']",1,0,4.5.1,2025-08-16 15:44:33,,
buka aplikasi DAMRI kok harus di unduh Mulu jadi ribet klw kita mau pesan tiket disuruh unduh/ perbarui mulu,buka aplikasi damri kok di unduh mulu jadi ribet klw mau pesan tiket suruh unduh baru mulu,"['buka', 'aplikasi', 'damri', 'kok', 'harus', 'di', 'unduh', 'mulu', 'jadi', 'ribet', 'klw', 'kita', 'mau', 'pesan', 'tiket', 'disuruh', 'unduh', 'perbarui', 'mulu']","['buka', 'aplikasi', 'damri', 'kok', 'di', 'unduh', 'mulu', 'jadi', 'ribet', 'klw', 'mau', 'pesan', 'tiket', 'suruh', 'unduh', 'baru', 'mulu']",4,0,4.5.0,2025-08-16 03:58:47,,
ok,,['ok'],[],5,0,,2025-08-15 23:38:55,,
"abis update nih jadwal keberngkatan bikin bingung. Jadwal ny berangkat jam 7 pagi pas mau di pesen jadi berubah jadwalny jadi jam 9 pagi. Ini gmana dah, yg bener yang mana. tolong benerin",abis update nih jadwal keberngkatan bikin bingung jadwal ny berangkat jam 7 pagi pas mau sen jadi ubah jadwalny jadi jam 9 pagi gmana dah bener mana benerin,"['abis', 'update', 'nih', 'jadwal', 'keberngkatan', 'bikin', 'bingung', 'jadwal', 'ny', 'berangkat', 'jam', '7', 'pagi', 'pas', 'mau', 'di', 'pesen', 'jadi', 'berubah', 'jadwalny', 'jadi', 'jam', '9', 'pagi', 'ini', 'gmana', 'dah', 'yg', 'bener', 'yang', 'mana', 'tolong', 'benerin']","['abis', 'update', 'nih', 'jadwal', 'keberngkatan', 'bikin', 'bingung', 'jadwal', 'ny', 'berangkat', 'jam', '7', 'pagi', 'pas', 'mau', 'sen', 'jadi', 'ubah', 'jadwalny', 'jadi', 'jam', '9', 'pagi', 'gmana', 'dah', 'yg', 'bener', 'mana', 'benerin']",3,0,4.5.0,2025-08-15 22:32:27,,
Nyaman,nyaman,['nyaman'],['nyaman'],5,0,,2025-08-12 06:30:19,,
"harusdi upgrade lagi, supaya ada menu reschedule nyaa",harusdi upgrade supaya menu reschedule nyaa,"['harusdi', 'upgrade', 'lagi', 'supaya', 'ada', 'menu', 'reschedule', 'nyaa']","['harusdi', 'upgrade', 'supaya', 'menu', 'reschedule', 'nyaa']",4,0,4.4.6,2025-08-11 19:03:00,,
"aplikasinya sudah cukup bagus, tapi saran saya sebaiknya di aplikasi saat pemesanan kursi di berikan kode untuk penumpang perempuan (P) dan Laki-Laki (L) karena ada beberapa penumpang yang merasa tidak nyaman jika harus duduk dengan lawan jenis, dengan adanya kode tersebut penumpang bisa lebih mudah lagi untuk memilih kursi dan merasa lebih nyaman ketika berada di bus. Saya berharap saran saya dapat di terima demi kenyamanan penumpang. Terima Kasih",aplikasi cukup bagus saran baik aplikasi mesan kursi ikan kode tumpang perempuan p lakilaki l ada beberapa tumpang rasa nyaman harus duduk lawan jenis ada kode sebut tumpang lebih mudah untuk pilih kursi rasa lebih nyaman ada bus harap saran dapat terima nyaman tumpang terima kasih,"['aplikasinya', 'sudah', 'cukup', 'bagus', 'tapi', 'saran', 'saya', 'sebaiknya', 'di', 'aplikasi', 'saat', 'pemesanan', 'kursi', 'di', 'berikan', 'kode', 'untuk', 'penumpang', 'perempuan', 'p', 'dan', 'lakilaki', 'l', 'karena', 'ada', 'beberapa', 'penumpang', 'yang', 'merasa', 'tidak', 'nyaman', 'jika', 'harus', 'duduk', 'dengan', 'lawan', 'jenis', 'dengan', 'adanya', 'kode', 'tersebut', 'penumpang', 'bisa', 'lebih', 'mudah', 'lagi', 'untuk', 'memilih', 'kursi', 'dan', 'merasa', 'lebih', 'nyaman', 'ketika', 'berada', 'di', 'bus', 'saya', 'berharap', 'saran', 'saya', 'dapat', 'di', 'terima', 'demi', 'kenyamanan', 'penumpang', 'terima', 'kasih']","['aplikasi', 'cukup', 'bagus', 'saran', 'baik', 'aplikasi', 'mesan', 'kursi', 'ikan', 'kode', 'tumpang', 'perempuan', 'p', 'lakilaki', 'l', 'ada', 'beberapa', 'tumpang', 'rasa', 'nyaman', 'harus', 'duduk', 'lawan', 'jenis', 'ada', 'kode', 'sebut', 'tumpang', 'lebih', 'mudah', 'untuk', 'pilih', 'kursi', 'rasa', 'lebih', 'nyaman', 'ada', 'bus', 'harap', 'saran', 'dapat', 'terima', 'nyaman', 'tumpang', 'terima', 'kasih']",4,2,4.4.6,2025-08-10 16:07:01,,
"posisi bus tidak akurat, halte tidak terlihat di map aplikasi",posisi bus akurat halte lihat map aplikasi,"['posisi', 'bus', 'tidak', 'akurat', 'halte', 'tidak', 'terlihat', 'di', 'map', 'aplikasi']","['posisi', 'bus', 'akurat', 'halte', 'lihat', 'map', 'aplikasi']",1,0,4.4.6,2025-08-10 05:42:00,,
"jellek, udah beli tiket online masa kita harus melapor lagi di pusat (Kendari) buat tiket baru lgi, udh bayar Ratusan ujung""nya dpt kursi d lantai mohon di perbaiki lagi!!!!-_-",jellek udah beli tiket online masa harus lapor pusat kendari buat tiket baru lgi udh bayar ratus ujung dpt kursi d lantai mohon di baik,"['jellek', 'udah', 'beli', 'tiket', 'online', 'masa', 'kita', 'harus', 'melapor', 'lagi', 'di', 'pusat', 'kendari', 'buat', 'tiket', 'baru', 'lgi', 'udh', 'bayar', 'ratusan', 'ujungnya', 'dpt', 'kursi', 'd', 'lantai', 'mohon', 'di', 'perbaiki', 'lagi_']","['jellek', 'udah', 'beli', 'tiket', 'online', 'masa', 'harus', 'lapor', 'pusat', 'kendari', 'buat', 'tiket', 'baru', 'lgi', 'udh', 'bayar', 'ratus', 'ujung', 'dpt', 'kursi', 'd', 'lantai', 'mohon', 'di', 'baik']",1,0,4.4.5,2025-08-07 08:19:29,,
ini mobil eggk layak buat keluar kota antar propinsi jok aja tidak nyam tolong donk diperbaiki ini mah punya BUMN,mobil eggk layak buat keluar kota antar propinsi jok nyam donk baik mah punya bumn,"['ini', 'mobil', 'eggk', 'layak', 'buat', 'keluar', 'kota', 'antar', 'propinsi', 'jok', 'aja', 'tidak', 'nyam', 'tolong', 'donk', 'diperbaiki', 'ini', 'mah', 'punya', 'bumn']","['mobil', 'eggk', 'layak', 'buat', 'keluar', 'kota', 'antar', 'propinsi', 'jok', 'aja', 'nyam', 'donk', 'baik', 'mah', 'punya', 'bumn']",1,0,4.4.6,2025-08-06 18:46:35,,
mantab,mantab,['mantab'],['mantab'],5,0,4.4.6,2025-08-05 18:53:38,,
Sangat sangat membantu kami masyarakat kecil .,sangat sangat bantu masyarakat kecil,"['sangat', 'sangat', 'membantu', 'kami', 'masyarakat', 'kecil']","['sangat', 'sangat', 'bantu', 'masyarakat', 'kecil']",5,0,4.4.6,2025-08-05 01:18:01,,
"pernah dapet bus yg kurang layak pakai di jalan , kejadian di lebaran 2025 rute perjalanan jakarta - wonosobo . bus nya kacau interior nya kotor AC nya bocor dan bangku nya robek robek",pernah dapet bus kurang layak pakai jalan jadi lebaran 2025 rute jalan jakarta wonosobo bus kacau interior kotor ac bocor bangku robek robek,"['pernah', 'dapet', 'bus', 'yg', 'kurang', 'layak', 'pakai', 'di', 'jalan', 'kejadian', 'di', 'lebaran', '2025', 'rute', 'perjalanan', 'jakarta', 'wonosobo', 'bus', 'nya', 'kacau', 'interior', 'nya', 'kotor', 'ac', 'nya', 'bocor', 'dan', 'bangku', 'nya', 'robek', 'robek']","['pernah', 'dapet', 'bus', 'yg', 'kurang', 'layak', 'pakai', 'jalan', 'jadi', 'lebaran', '2025', 'rute', 'jalan', 'jakarta', 'wonosobo', 'bus', 'nya', 'kacau', 'interior', 'nya', 'kotor', 'ac', 'nya', 'bocor', 'bangku', 'nya', 'robek', 'robek']",1,0,3.2.9,2025-08-04 19:13:57,,
"CS tidak responsif terkait pelaporan masalah yang ada. sudah saya follow up berkali kali tetap tidak ada respon. padahal bukti semua lengkap sudah dikirimkan. infonya akan segera dihubungi, ZONK manaaa saya yg follow up hubungi saja tidak ada responnya sama sekali.",cs responsif kait lapor masalah follow up kali kali tetap ada respon padahal bukti semua lengkap kirim info segera hubung zonk manaaa saya follow up hubung tidak ada responnya sama sekali,"['cs', 'tidak', 'responsif', 'terkait', 'pelaporan', 'masalah', 'yang', 'ada', 'sudah', 'saya', 'follow', 'up', 'berkali', 'kali', 'tetap', 'tidak', 'ada', 'respon', 'padahal', 'bukti', 'semua', 'lengkap', 'sudah', 'dikirimkan', 'infonya', 'akan', 'segera', 'dihubungi', 'zonk', 'manaaa', 'saya', 'yg', 'follow', 'up', 'hubungi', 'saja', 'tidak', 'ada', 'responnya', 'sama', 'sekali']","['cs', 'responsif', 'kait', 'lapor', 'masalah', 'follow', 'up', 'kali', 'kali', 'tetap', 'ada', 'respon', 'padahal', 'bukti', 'semua', 'lengkap', 'kirim', 'info', 'segera', 'hubung', 'zonk', 'manaaa', 'saya', 'yg', 'follow', 'up', 'hubung', 'tidak', 'ada', 'responnya', 'sama', 'sekali']",1,7,4.4.6,2025-08-04 10:54:56,,
"aplikasi belum terlalu bagus, karena kami penumpang tidak bisa mengetahui posisi bus terkini",aplikasi terlalu bagus kami tumpang bisa tahu posisi bus kini,"['aplikasi', 'belum', 'terlalu', 'bagus', 'karena', 'kami', 'penumpang', 'tidak', 'bisa', 'mengetahui', 'posisi', 'bus', 'terkini']","['aplikasi', 'terlalu', 'bagus', 'kami', 'tumpang', 'bisa', 'tahu', 'posisi', 'bus', 'kini']",2,1,4.4.6,2025-08-03 15:46:32,,
selama ini saya seneng naik bus dan mencoba pakai damri via apps ternyata di aplikasi kurang simple kayak kita mau naik bus mau naik kelas apa harus keluar lagi ke menu lagi buat ngelihat bus nya seperti apa. saran saya sebagai pengguna aplikasi di tingkatkan sama dikasih model klas di setiap rute perjalanan contoh aja di aplikasi rosalia indah. sama gambar kendaraannya kurang jelas dan lengkap mungkin bisa buat pertimbangan lagi.,lama neng naik bus coba pakai damri via apps nyata aplikasi kurang simple kayak mau naik bus mau naik kelas apa keluar ke menu buat ngelihat bus apa saran saya bagai aplikasi tingkat sama kasih model klas tiap rute jalan contoh aplikasi rosalia indah sama gambar kendara kurang jelas lengkap mungkin buat timbang,"['selama', 'ini', 'saya', 'seneng', 'naik', 'bus', 'dan', 'mencoba', 'pakai', 'damri', 'via', 'apps', 'ternyata', 'di', 'aplikasi', 'kurang', 'simple', 'kayak', 'kita', 'mau', 'naik', 'bus', 'mau', 'naik', 'kelas', 'apa', 'harus', 'keluar', 'lagi', 'ke', 'menu', 'lagi', 'buat', 'ngelihat', 'bus', 'nya', 'seperti', 'apa', 'saran', 'saya', 'sebagai', 'pengguna', 'aplikasi', 'di', 'tingkatkan', 'sama', 'dikasih', 'model', 'klas', 'di', 'setiap', 'rute', 'perjalanan', 'contoh', 'aja', 'di', 'aplikasi', 'rosalia', 'indah', 'sama', 'gambar', 'kendaraannya', 'kurang', 'jelas', 'dan', 'lengkap', 'mungkin', 'bisa', 'buat', 'pertimbangan', 'lagi']","['lama', 'neng', 'naik', 'bus', 'coba', 'pakai', 'damri', 'via', 'apps', 'nyata', 'aplikasi', 'kurang', 'simple', 'kayak', 'mau', 'naik', 'bus', 'mau', 'naik', 'kelas', 'apa', 'keluar', 'ke', 'menu', 'buat', 'ngelihat', 'bus', 'nya', 'apa', 'saran', 'saya', 'bagai', 'aplikasi', 'tingkat', 'sama', 'kasih', 'model', 'klas', 'tiap', 'rute', 'jalan', 'contoh', 'aja', 'aplikasi', 'rosalia', 'indah', 'sama', 'gambar', 'kendara', 'kurang', 'jelas', 'lengkap', 'mungkin', 'buat', 'timbang']",3,0,4.4.6,2025-08-03 14:07:10,,
lah...menunya kagak bisa di klik coy,lahmenunya kagak di klik coy,"['lahmenunya', 'kagak', 'bisa', 'di', 'klik', 'coy']","['lahmenunya', 'kagak', 'di', 'klik', 'coy']",1,0,4.4.6,2025-08-03 10:30:57,,
kenapa saya klik rute engga ke buka. tolong perbaiki lagi,saya klik rute engga buka baik,"['kenapa', 'saya', 'klik', 'rute', 'engga', 'ke', 'buka', 'tolong', 'perbaiki', 'lagi']","['saya', 'klik', 'rute', 'engga', 'buka', 'baik']",2,0,4.4.6,2025-08-03 10:13:26,,
"app aneh...katanya ada rute sby- bromo aku nyari sampe mumet, udah isi tgl keberangkatan hasilnya nihil , jadwal tidak tersedia...apa coba....?? kalo belum siap jgnlah di share... bikin kecewa aja...huuu",app anehkatanya rute sby bromo aku nyari sampe mumet udah isi tgl berangkat hasil nihil jadwal tersediaapa coba kalo siap jgnlah share bikin kecewa ajahuuu,"['app', 'anehkatanya', 'ada', 'rute', 'sby', 'bromo', 'aku', 'nyari', 'sampe', 'mumet', 'udah', 'isi', 'tgl', 'keberangkatan', 'hasilnya', 'nihil', 'jadwal', 'tidak', 'tersediaapa', 'coba', 'kalo', 'belum', 'siap', 'jgnlah', 'di', 'share', 'bikin', 'kecewa', 'ajahuuu']","['app', 'anehkatanya', 'rute', 'sby', 'bromo', 'aku', 'nyari', 'sampe', 'mumet', 'udah', 'isi', 'tgl', 'berangkat', 'hasil', 'nihil', 'jadwal', 'tersediaapa', 'coba', 'kalo', 'siap', 'jgnlah', 'share', 'bikin', 'kecewa', 'ajahuuu']",1,0,,2025-08-03 07:30:47,,
ngga kaleng-kaleng bus damri,tidak kalengkaleng bus damri,"['ngga', 'kalengkaleng', 'bus', 'damri']","['tidak', 'kalengkaleng', 'bus', 'damri']",5,0,4.4.6,2025-08-02 20:19:45,,
ini aplikasi nya kok kayak gak bisa di klik yah? padahal sudah update tapi sama aja. saya mau lihat rute bus nya tapi daritadi gak bisa ke klik. mohon segera di perbaiki.,aplikasi kok kayak tidak klik yah padahal update sama mau lihat rute bus daritadi tidak ke klik mohon segera di baik,"['ini', 'aplikasi', 'nya', 'kok', 'kayak', 'gak', 'bisa', 'di', 'klik', 'yah', 'padahal', 'sudah', 'update', 'tapi', 'sama', 'aja', 'saya', 'mau', 'lihat', 'rute', 'bus', 'nya', 'tapi', 'daritadi', 'gak', 'bisa', 'ke', 'klik', 'mohon', 'segera', 'di', 'perbaiki']","['aplikasi', 'nya', 'kok', 'kayak', 'tidak', 'klik', 'yah', 'padahal', 'update', 'sama', 'aja', 'mau', 'lihat', 'rute', 'bus', 'nya', 'daritadi', 'tidak', 'ke', 'klik', 'mohon', 'segera', 'di', 'baik']",3,0,4.4.6,2025-08-02 17:34:41,,
untuk manajemen damri sedikit saran supaya pembatalan/reschedule tiket maks.2 jam sebelum keberangkatan jangan 6 jam sebelum keberangkatan,manajemen damri sedikit saran pembatalanreschedule tiket maks2 jam berangkat jangan 6 jam berangkat,"['untuk', 'manajemen', 'damri', 'sedikit', 'saran', 'supaya', 'pembatalanreschedule', 'tiket', 'maks2', 'jam', 'sebelum', 'keberangkatan', 'jangan', '6', 'jam', 'sebelum', 'keberangkatan']","['manajemen', 'damri', 'sedikit', 'saran', 'pembatalanreschedule', 'tiket', 'maks2', 'jam', 'berangkat', 'jangan', '6', 'jam', 'berangkat']",4,0,4.4.5,2025-08-02 06:38:55,,
aplikasi nya sering lemot tolong di perbaiki aplikasi nya supaya pelanggan damri tidak kecewa untuk kedepannya terimakasih.,aplikasi sering lot di baik aplikasi langgan damri kecewa depan terimakasih,"['aplikasi', 'nya', 'sering', 'lemot', 'tolong', 'di', 'perbaiki', 'aplikasi', 'nya', 'supaya', 'pelanggan', 'damri', 'tidak', 'kecewa', 'untuk', 'kedepannya', 'terimakasih']","['aplikasi', 'nya', 'sering', 'lot', 'di', 'baik', 'aplikasi', 'nya', 'langgan', 'damri', 'kecewa', 'depan', 'terimakasih']",4,0,4.4.5,2025-08-01 12:25:02,,
ok,,['ok'],[],5,0,4.4.4,2025-08-01 11:00:23,,
"mksh, masih sempet dapat free nya dan sangat sangat membantu, wajib di pertahankan ya.",mksh sempet free sangat sangat bantu wajib tahan,"['mksh', 'masih', 'sempet', 'dapat', 'free', 'nya', 'dan', 'sangat', 'sangat', 'membantu', 'wajib', 'di', 'pertahankan', 'ya']","['mksh', 'sempet', 'free', 'nya', 'sangat', 'sangat', 'bantu', 'wajib', 'tahan']",5,0,4.4.5,2025-07-30 18:18:22,,
"aplikasinya busuk, kok tujuan ga ada padahal ada rutenya, sulit sekali nyari rute tujuan padahal mah byk terminal atau agen berhenti Damri tp d app g ada, belajar ke KAI bos bikin malu aja.",aplikasi busuk kok tuju tidak padahal rute sulit sekali nyari rute tuju padahal mah byk terminal agen henti damri tp d app tidak ajar kai bos bikin malu,"['aplikasinya', 'busuk', 'kok', 'tujuan', 'ga', 'ada', 'padahal', 'ada', 'rutenya', 'sulit', 'sekali', 'nyari', 'rute', 'tujuan', 'padahal', 'mah', 'byk', 'terminal', 'atau', 'agen', 'berhenti', 'damri', 'tp', 'd', 'app', 'g', 'ada', 'belajar', 'ke', 'kai', 'bos', 'bikin', 'malu', 'aja']","['aplikasi', 'busuk', 'kok', 'tuju', 'tidak', 'padahal', 'rute', 'sulit', 'sekali', 'nyari', 'rute', 'tuju', 'padahal', 'mah', 'byk', 'terminal', 'agen', 'henti', 'damri', 'tp', 'd', 'app', 'tidak', 'ajar', 'kai', 'bos', 'bikin', 'malu', 'aja']",2,1,4.4.5,2025-07-30 11:07:44,,
TOLONG PERBAIKI APLIKASI NYA MASIH KURANG BANGET SOAL KEAKURATAN BIS NYA,baik aplikasi kurang banget soal akurat bis,"['tolong', 'perbaiki', 'aplikasi', 'nya', 'masih', 'kurang', 'banget', 'soal', 'keakuratan', 'bis', 'nya']","['baik', 'aplikasi', 'nya', 'kurang', 'banget', 'soal', 'akurat', 'bis', 'nya']",1,0,4.4.5,2025-07-28 12:46:06,,
ribet,ribet,['ribet'],['ribet'],1,0,4.4.5,2025-07-28 02:01:51,,
senang banget...bisnyaber AC..bersih..aman nyaman.klu bisa menjangkau pelosok Makass posar seperti antang.tamangapa raya ..kassi Krn sulit dpt kendaraan umum..,senang bangetbisnyaber acbersihaman nyamanklu jangkau pelosok makass posar antangtamangapa raya kassi krn sulit dpt kendara umum,"['senang', 'bangetbisnyaber', 'acbersihaman', 'nyamanklu', 'bisa', 'menjangkau', 'pelosok', 'makass', 'posar', 'seperti', 'antangtamangapa', 'raya', 'kassi', 'krn', 'sulit', 'dpt', 'kendaraan', 'umum']","['senang', 'bangetbisnyaber', 'acbersihaman', 'nyamanklu', 'jangkau', 'pelosok', 'makass', 'posar', 'antangtamangapa', 'raya', 'kassi', 'krn', 'sulit', 'dpt', 'kendara', 'umum']",5,2,4.4.5,2025-07-27 08:48:23,,
min kq gk bisa dipake aplikasinya,min kq tidak di pakai aplikasi,"['min', 'kq', 'gk', 'bisa', 'dipake', 'aplikasinya']","['min', 'kq', 'tidak', 'dipake', 'aplikasi']",2,0,4.4.5,2025-07-26 05:54:21,,
Kenapa nggak bisa diakses ya min ?,tidak akses min,"['kenapa', 'nggak', 'bisa', 'diakses', 'ya', 'min']","['tidak', 'akses', 'min']",4,0,4.4.5,2025-07-23 20:21:27,,
lemot pisan. serius ga sih?,lot pis serius tidak sih,"['lemot', 'pisan', 'serius', 'ga', 'sih']","['lot', 'pis', 'serius', 'tidak', 'sih']",1,0,,2025-07-23 19:59:23,,
iisshh ini aplikasi muter2 terus sampai ganti sinyal dari wifi pake kuota sendiri tetep ajaa...uninstal aja wes,iisshh aplikasi muter2 terus ganti sinyal wifi pakai kuota sendiri tetep ajaauninstal wes,"['iisshh', 'ini', 'aplikasi', 'muter2', 'terus', 'sampai', 'ganti', 'sinyal', 'dari', 'wifi', 'pake', 'kuota', 'sendiri', 'tetep', 'ajaauninstal', 'aja', 'wes']","['iisshh', 'aplikasi', 'muter2', 'terus', 'ganti', 'sinyal', 'wifi', 'pake', 'kuota', 'sendiri', 'tetep', 'ajaauninstal', 'aja', 'wes']",1,0,,2025-07-23 19:56:07,,
